____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;2.15 ran at Thu Jun  4 18:11:06 2026

Kernel Version;Linux version 6.12.85
System Name;HUAWEIMRC-WX0M1NONE
CPU Information;8 Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz
OS Information;NixOS 25.11 (Xantusia)

Target: 1 units/s;System:  1147.2 wakeup/s;CPU:  47.4% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description
  1.3%;692.7;Timer;tick_nohz_handler
  2.6%;234.9;Process;[PID 55465] /nix/store/znid5w5ca9170wb3ffx6ywccrj1v67v8-antigravity-1.11.14/lib/antigravity/resources/app/extensions/antigravit
 20.6%;  3.5;Process;[PID 55246] /nix/store/znid5w5ca9170wb3ffx6ywccrj1v67v8-antigravity-1.11.14/lib/antigravity/antigravity --type=zygote 
  1.1%; 56.0;Interrupt;[7] sched(softirq)
  0.8%; 43.8;Timer;hrtimer_wakeup
 11.3%;  0.9;Process;[PID 55162] /nix/store/znid5w5ca9170wb3ffx6ywccrj1v67v8-antigravity-1.11.14/lib/antigravity/antigravity --ozone-platform-hint=a
  0.0%; 25.5;Process;[PID 19] [rcu_preempt]
  0.4%; 23.1;Process;[PID 55239] /nix/store/znid5w5ca9170wb3ffx6ywccrj1v67v8-antigravity-1.11.14/lib/antigravity/antigravity --type=zygote --no-zygo
  0.0%; 13.0;Timer;inactive_task_timer
  0.0%;  8.7;Process;[PID 50128] /nix/store/7bfr6s5fxisia47c4dadnfwza1drcy34-brave-1.89.145/opt/brave.com/brave/brave --type=gpu-process --ozone-pla

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
C2 (pc2);  5.1%
C3 (pc3);  0.5%
C6 (pc6); 10.5%
C7 (pc7);  0.3%
C8 (pc8);  0.0%
C9 (pc9);  0.0%
C10 (pc10);  0.0%
;
;
;

;Core 0
C3 (cc3);  0.9%
C6 (cc6); 19.5%
C7 (cc7); 26.0%
;Core 1
C3 (cc3);  1.0%
C6 (cc6); 21.4%
C7 (cc7); 35.6%
;Core 2
C3 (cc3);  0.9%
C6 (cc6); 19.4%
C7 (cc7); 34.7%
;Core 3
C3 (cc3);  1.0%
C6 (cc6); 20.4%
C7 (cc7); 41.5%

CPU;0;CPU;4
C0 active; 17.9%; 45.3%;
POLL;  0.1%;   0.0 ms;  0.1%;   0.0 ms
C1;  0.2%;   0.1 ms;  0.1%;   0.0 ms
;
C3;  1.3%;   0.1 ms;  0.9%;   0.1 ms
C6; 23.1%;   0.5 ms; 12.9%;   0.5 ms
C7s;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C8; 16.7%;   0.7 ms;  6.4%;   0.6 ms
C9;  0.4%;   0.5 ms;  2.4%;   2.7 ms
;
C10; 40.1%;   1.1 ms; 35.6%;   2.1 ms
C1E;  0.8%;   0.1 ms;  0.6%;   0.1 ms
CPU;1;CPU;5
C0 active; 21.6%; 25.8%;
POLL;  0.1%;   0.0 ms;  0.1%;   0.0 ms
C1;  0.1%;   0.1 ms;  0.1%;   0.1 ms
;
C3;  1.2%;   0.1 ms;  0.9%;   0.1 ms
C6; 18.6%;   0.5 ms; 15.3%;   0.5 ms
C7s;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C8; 15.2%;   0.7 ms;  8.3%;   0.7 ms
C9;  1.8%;   2.2 ms;  3.3%;   3.5 ms
;
C10; 42.6%;   1.8 ms; 46.4%;   2.2 ms
C1E;  0.8%;   0.1 ms;  0.6%;   0.1 ms
CPU;2;CPU;6
C0 active; 17.7%; 34.7%;
POLL;  0.1%;   0.0 ms;  0.1%;   0.0 ms
C1;  0.1%;   0.1 ms;  0.1%;   0.1 ms
;
C3;  1.1%;   0.1 ms;  0.8%;   0.1 ms
C6; 18.4%;   0.5 ms; 13.4%;   0.5 ms
C7s;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C8; 11.6%;   0.7 ms;  7.8%;   0.7 ms
C9;  1.8%;   2.4 ms;  3.1%;   2.9 ms
;
C10; 49.2%;   1.8 ms; 43.6%;   2.7 ms
C1E;  0.8%;   0.1 ms;  0.5%;   0.1 ms
CPU;3;CPU;7
C0 active; 25.6%; 16.8%;
POLL;  0.1%;   0.0 ms;  0.1%;   0.0 ms
C1;  0.1%;   0.0 ms;  0.1%;   0.1 ms
;
C3;  1.3%;   0.1 ms;  0.7%;   0.1 ms
C6; 19.4%;   0.5 ms; 11.8%;   0.5 ms
C7s;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C8; 12.5%;   0.7 ms;  8.3%;   0.7 ms
C9;  0.9%;   1.9 ms;  3.1%;   2.8 ms
;
C10; 42.0%;   2.5 ms; 59.6%;   3.2 ms
C1E;  0.8%;   0.1 ms;  0.5%;   0.1 ms
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
Idle;
;
;
;

;Core 0
Idle;
;Core 1
Idle;
;Core 2
Idle;
;Core 3
Idle;

CPU 0;CPU 4
Average;1.8 GHz;2.0 GHz
Idle;
CPU 1;CPU 5
Average;2.0 GHz;1.8 GHz
Idle;
CPU 2;CPU 6
Average;1.8 GHz;2.0 GHz
Idle;
CPU 3;CPU 7
Average;2.0 GHz;1.9 GHz
Idle;
;;
;;
;;
;;

____________________________________________________________________
 *  *  *   Overview of Software Power Consumers   *  *  *

Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description
 13.4 ms/s;692.7;;;;Timer;tick_nohz_handler
 25.9 ms/s;234.9;;;;Process;[PID 55465] /nix/store/znid5w5ca9170wb3ffx6ywccrj1v67v8-antigravity-1.11.14/lib/antigravity/resources/app/extensions/antigravit
206.2 ms/s;  3.5;;;;Process;[PID 55246] /nix/store/znid5w5ca9170wb3ffx6ywccrj1v67v8-antigravity-1.11.14/lib/antigravity/antigravity --type=zygote 
 11.4 ms/s; 56.0;;;;Interrupt;[7] sched(softirq)
  7.6 ms/s; 43.8;;;;Timer;hrtimer_wakeup
112.8 ms/s;  0.9;;;;Process;[PID 55162] /nix/store/znid5w5ca9170wb3ffx6ywccrj1v67v8-antigravity-1.11.14/lib/antigravity/antigravity --ozone-platform-hint=a
350.6 us/s; 25.5;;;;Process;[PID 19] [rcu_preempt]
  3.9 ms/s; 23.1;;;;Process;[PID 55239] /nix/store/znid5w5ca9170wb3ffx6ywccrj1v67v8-antigravity-1.11.14/lib/antigravity/antigravity --type=zygote --no-zygo
131.7 us/s; 13.0;;;;Timer;inactive_task_timer
475.3 us/s;  8.7;;;;Process;[PID 50128] /nix/store/7bfr6s5fxisia47c4dadnfwza1drcy34-brave-1.89.145/opt/brave.com/brave/brave --type=gpu-process --ozone-pla
 17.6 ms/s;  1.2;;;;kWork;intel_atomic_commit_work
 11.9 ms/s;  1.8;;;;Process;[PID 55275] /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --
  1.4 ms/s;  5.3;;;;Process;[PID 55251] /nix/store/znid5w5ca9170wb3ffx6ywccrj1v67v8-antigravity-1.11.14/lib/antigravity/antigravity --type=zygote 
 11.1 ms/s;  0.6;;;;Process;[PID 55248] /nix/store/znid5w5ca9170wb3ffx6ywccrj1v67v8-antigravity-1.11.14/lib/antigravity/antigravity --type=zygote 
 10.1 ms/s; 0.20;;;;Process;[PID 55249] /nix/store/znid5w5ca9170wb3ffx6ywccrj1v67v8-antigravity-1.11.14/lib/antigravity/antigravity --type=zygote 
  8.8 ms/s; 0.10;;;;Process;[PID 55255] /nix/store/znid5w5ca9170wb3ffx6ywccrj1v67v8-antigravity-1.11.14/lib/antigravity/antigravity --type=zygote 
 33.1 us/s;  3.3;;;;Process;[PID 34998] /nix/store/p8lkynya12kzg2kry0bpipypilk11qln-syncthing-2.0.10/bin/syncthing --config=/home/jefaturico/.config/syncth
137.9 us/s;  2.6;;;;Interrupt;[4] block(softirq)
 76.9 us/s;  2.4;;;;kWork;engine_retire
 26.3 us/s;  2.4;;;;kWork;toggle_allocation_gate
 47.5 us/s;  1.7;;;;kWork;psi_avgs_work
356.5 us/s;  1.6;;;;Interrupt;[0] HI_SOFTIRQ
138.7 us/s;  1.4;;;;Process;[PID 55343] /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --
  3.8 ms/s;;;;;Interrupt;[9] RCU(softirq)
  0.7 ms/s;  1.2;;;;Process;[PID 49829] /nix/store/7bfr6s5fxisia47c4dadnfwza1drcy34-brave-1.89.145/opt/brave.com/brave/brave --enable-features=VaapiVideoDe
152.3 us/s;  1.3;;;;Interrupt;[134] i915
 60.5 us/s;  1.3;;;;kWork;intel_atomic_cleanup_work
 80.7 us/s;  1.2;;;;kWork;__intel_wakeref_put_work
  1.7 ms/s;  0.3;;;;Process;[PID 55250] /nix/store/znid5w5ca9170wb3ffx6ywccrj1v67v8-antigravity-1.11.14/lib/antigravity/antigravity --type=zygote 
  1.4 ms/s;  0.3;;;;Process;[PID 55325] /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --
 13.4 us/s;  0.9;;;;kWork;delayed_vfree_work
  2.1 ms/s;;;;;Process;[PID 56580] sh
189.3 us/s;  0.7;;;;Process;[PID 55288] /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --
 19.9 us/s;  0.7;;;;Process;[PID 794] [irq/135-iwlwifi]
